b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
770.970337,1376.523193,0,457,12515.830078,14587.866211,23777,30827,12650.572266,20146.367188,19402,21628,12162.71875,34363.972656,7674,10202,29170.054688,168852.5,4812,9240,32029.900391,306829.0625,1906,5231,99300.046875,546156.3125,57571,77585
0.0,0.0,0,0,15551.875977,47701.53125,21414,25847,16819.109375,35410.214844,19288,22844,10328.884766,24669.546875,5688,8112,54211.917969,324221.75,4294,12890,56656.140625,587260.375,577,6312,153567.921875,1019263.375,51261,76005
8.058548,10.828853,0,6,28060.916016,123466.15625,20942,29414,22700.304688,58907.585938,13235,20166,9145.208984,31340.488281,3810,5833,64235.453125,408498.6875,4154,14526,37339.097656,404380.28125,1716,5220,161489.046875,1026604.0625,43857,75165
9613.835938,20464.099609,2970,7528,20144.373047,80628.59375,17515,23271,18656.734375,69309.820312,10308,14954,18015.542969,69087.015625,6400,9855,44342.519531,260870.0625,6139,12851,34275.226562,344269.875,1820,5230,145048.21875,844629.5,45152,73689
3231.850098,6712.946289,7405,9303,18447.171875,52025.035156,17281,23984,12087.212891,37879.195312,9301,12195,33451.171875,133232.90625,6739,14150,29830.894531,155201.03125,6250,10732,22151.552734,211935.78125,1148,3440,119199.859375,596986.875,48124,73804
900.656616,3185.608398,0,256,12017.603516,26911.507812,18685,22905,11448.074219,24194.511719,14142,16739,22613.923828,60011.1875,10231,15290,29793.984375,142685.828125,6175,11000,42586.609375,422300.84375,1069,5450,119360.84375,679289.4375,50302,71640
263.404572,557.955994,3,136,7851.967773,7153.703613,14319,19265,29783.855469,63497.136719,14334,23955,30782.886719,112712.046875,6164,13337,34858.527344,192826.65625,3339,9006,51031.242188,548204.0,261,5309,154571.890625,924951.5,38420,71008
22860.578125,68212.484375,0,9117,7642.675781,9893.128906,14949,16727,35027.242188,90203.03125,16382,27138,26641.964844,104396.335938,4032,10240,34102.007812,231000.53125,1461,6557,45830.605469,544392.875,233,4267,172105.078125,1048098.375,37057,74046
6031.78125,16952.351562,14942,18142,30348.785156,117370.578125,17099,26247,43289.472656,179231.390625,3920,15999,26787.894531,133070.15625,1566,7029,31978.964844,230135.78125,547,5269,38787.71875,451259.5625,80,3574,177224.625,1128019.75,38154,76260
0.0,0.0,0,0,15177.739258,20781.105469,33343,36679,13532.474609,20634.460938,17792,20676,6964.949219,17758.353516,3454,4989,23536.53125,125041.359375,3798,7238,49704.65625,556103.5,785,5317,108916.351562,740318.75,59172,74899
7435.216797,10800.802734,3851,9847,12277.519531,12772.148438,33133,36405,7935.344238,11510.865234,13221,15058,8201.84668,26938.480469,3611,5460,19454.15625,129191.601562,2027,5036,62197.859375,790476.4375,693,5826,117501.9375,981690.3125,56536,77632
7832.242188,9680.277344,26261,32282,22566.791016,45607.695312,19701,29168,6025.602051,20392.949219,4288,5751,15627.459961,96507.6875,2767,5420,13820.328125,101307.546875,1319,3294,45860.398438,528827.875,588,4930,111732.820312,802324.0,54924,80845
1758.749634,4033.096191,0,838,12520.615234,24249.1875,29480,33037,7850.411133,16762.945312,10248,12395,10105.832031,28057.160156,6682,9266,20132.753906,122676.570312,3954,7098,73517.570312,766321.0,1538,8996,125885.929688,962099.9375,51902,71630
20194.480469,84973.71875,7721,13884,7188.362793,9303.921875,14311,16938,27454.996094,96184.648438,11328,18157,8325.234375,35540.554688,3388,4838,32826.09375,234369.484375,3418,8045,80024.742188,871095.5,1376,9161,176013.90625,1331467.75,41542,71023
12041.568359,35367.578125,19114,28102,5273.629883,7552.432617,10682,11869,20670.330078,74232.171875,8995,14077,10061.663086,36178.585938,3918,5700,38397.617188,276424.1875,3190,8310,63498.371094,790504.5,622,6215,149943.171875,1220259.5,46521,74273
79.635338,326.173798,0,20,37090.535156,174544.6875,19993,30216,8856.664062,27183.144531,9584,11317,9300.351562,23113.142578,6623,8276,50455.71875,294586.4375,7391,14826,33221.464844,328352.4375,1524,4769,139004.375,848106.0,45115,69424
205.414658,859.780396,0,90,7290.731445,9890.063477,21487,24209,8761.580078,16531.855469,12984,15238,9317.697266,29415.185547,5176,7407,55216.34375,302225.625,8842,17884,42639.332031,479646.125,1347,5097,123431.09375,838568.625,49836,69925
7581.263672,18031.84375,5136,9265,4498.416016,7465.270508,13021,14367,9920.03125,21305.714844,13688,15663,18811.890625,56503.910156,6763,11072,56346.273438,373149.53125,4292,12835,45839.808594,483267.4375,843,5219,142997.671875,959723.75,43743,68421
0.0,0.0,0,0,6444.400879,9666.922852,23206,25117,4767.100586,7023.894531,12386,13439,21921.953125,63440.210938,9282,14652,26938.796875,110530.195312,7432,11918,21050.65625,224810.3125,1288,3145,81122.90625,415471.53125,53594,68271
2.416249,0.458256,22,22,37819.875,215172.625,18814,27749,13588.435547,43753.132812,10714,13798,19678.71875,65513.085938,9176,12847,21437.826172,125577.015625,3998,7114,36715.992188,489400.5,1257,3829,129243.265625,939416.75,43981,65359
405.918701,594.414795,0,280,2506.976318,1560.477905,22037,22497,8428.771484,7848.517578,20313,21076,15267.981445,45777.925781,6954,10674,12160.209961,50294.074219,4343,6490,25323.089844,287205.25,1480,3578,64092.945312,393280.6875,55127,64595
5922.470703,18343.601562,9039,11202,3780.754395,4487.243164,16340,17509,12450.248047,20647.675781,17702,20602,10140.292969,38625.851562,5025,7118,10522.756836,71687.171875,3118,4576,32434.015625,380746.9375,1390,4090,75250.539062,534538.4375,52614,65097
1122.660156,4011.017578,0,315,21282.390625,59949.644531,22814,31741,9396.053711,22974.621094,8451,11559,9225.933594,34973.949219,5346,7161,10770.385742,80271.578125,3314,4529,34141.75,469300.5625,1583,3944,85939.171875,671481.375,41508,59249
13.997981,14.215781,5,16,10094.886719,12319.470703,30124,33639,5061.839844,7041.939941,12044,13082,3106.88623,8616.425781,3587,4533,3866.641846,28063.425781,3433,3832,14238.292969,168173.09375,1686,2710,36382.546875,224228.5625,50879,57812
6948.25,15482.442383,2560,6896,4900.400391,6890.088867,15807,17710,4720.504395,3766.406738,15566,16022,2180.259033,3747.874023,4159,4683,4358.521484,25685.660156,4079,4488,24943.052734,292002.0,1926,3899,48050.988281,347574.5,44097,53698
0.0,0.0,0,0,11036.789062,32462.9375,23007,25244,5617.676758,8272.50293,9568,11610,2590.651367,8778.931641,3755,4322,11033.512695,80280.757812,3714,5122,52932.335938,647038.625,1756,6009,83210.960938,776833.6875,41800,52307
188.549561,6.128088,8996,8996,1635.360474,1230.394165,27782,28055,7816.018555,15404.140625,14611,16035,8435.806641,23341.839844,6198,7865,22979.808594,98488.796875,7186,10669,37914.664062,289942.1875,1945,6778,78970.210938,428413.5,66718,78398
2964.043945,2102.170166,806,4498,44766.390625,102668.859375,7055,29711,35149.367188,152850.796875,9452,17413,15815.144531,47525.558594,6066,9287,28720.949219,150452.4375,6457,10546,47757.734375,430567.375,1510,6947,175173.625,886167.1875,31346,78402
0.0,0.0,0,0,19947.914062,74175.65625,26985,30753,7941.521484,17361.060547,12668,14433,10757.683594,24821.679688,8621,10619,24018.201172,112799.289062,7221,10729,40344.085938,323957.5625,2367,7196,103009.40625,553115.25,57862,73730
0.0,0.0,0,0,12268.519531,37285.507812,18573,24264,8333.603516,19040.244141,12676,14803,6273.969727,15945.826172,9268,10163,24741.107422,103700.320312,8848,13028,41710.351562,336309.4375,3539,8266,93327.5625,512281.34375,52904,70524
0.0,0.0,0,0,2279.935791,5084.818359,18465,19208,13313.115234,36890.695312,17612,20512,6985.482422,14948.230469,8321,9409,31267.074219,149715.375,8004,13264,51428.617188,437549.875,2806,8747,105274.226562,644189.0,55208,71140
0.0,0.0,0,0,10789.986328,21146.09375,19488,22274,19042.410156,61497.523438,12510,16975,12171.71875,29360.529297,7610,10261,36249.101562,171498.640625,8856,14483,63425.550781,563310.75,1482,8881,141678.765625,846813.625,49946,72874
0.0,0.0,0,0,12968.058594,34607.53125,23024,27063,12384.738281,34973.421875,13861,16426,8849.84375,25124.46875,5570,7489,41599.945312,218234.59375,9591,15870,49198.980469,469288.8125,1768,7038,125001.5625,782228.75,53814,73886
8195.505859,47524.757812,162,1887,20241.496094,102229.0625,18435,23517,12199.020508,24545.617188,14936,17185,14420.113281,41996.65625,7753,10729,47474.289062,279620.03125,6273,13929,49275.574219,504405.125,1039,6274,151806.0,1000321.25,48598,73521
2692.803223,900.009705,11986,13235,23005.183594,117554.640625,14857,20281,19114.654297,70353.554688,9022,13753,20741.523438,102146.765625,4982,9039,52613.078125,372637.0625,5917,12807,44237.46875,451753.9375,1925,6387,162404.71875,1115346.0,48689,75502
0.0,0.0,0,0,41552.519531,260066.71875,19708,28256,17803.359375,76313.5625,12333,15964,15559.354492,59970.335938,5781,8932,43899.703125,223465.09375,7437,14732,43267.597656,425043.28125,1849,6263,162082.53125,1044859.0,47108,74147
0.0,0.0,0,0,6715.567383,17839.308594,23095,25155,8064.523438,15461.75293,15562,16987,12913.976562,33603.941406,7889,10692,38420.09375,183710.84375,9093,15215,35186.929688,304664.15625,1315,5515,101301.09375,555280.0,56954,73564
4030.962646,10923.538086,10267,11673,10574.839844,30162.046875,16787,20391,11332.005859,25885.560547,12341,14970,24580.431641,107423.796875,7457,11716,33697.445312,181861.453125,6034,11315,35367.695312,332721.625,1276,5282,119583.375,688978.0,54162,75347
0.0,0.0,0,0,7756.419434,32360.25,21376,23026,19300.009766,56827.824219,14560,19189,16895.378906,52513.40625,8693,12129,32598.816406,133410.25,6187,12757,36918.640625,325802.625,2356,6227,113469.265625,600914.375,53172,73328
0.569176,0.041096,8,8,6323.662109,6219.167969,22405,24222,11799.414062,24437.296875,17573,19607,16307.186523,36474.613281,9022,12988,37644.699219,192503.953125,5558,12213,37515.328125,349990.75,1936,5898,109590.859375,609625.75,56502,74936
581.515747,1098.214233,0,311,14348.158203,34343.511719,24589,28361,12582.28125,18139.941406,17640,20241,19653.246094,58475.132812,7195,11649,29140.013672,147096.171875,6269,10874,35922.8125,343788.40625,1416,5233,112228.03125,602941.375,57109,76669
555.7854,5169.798828,0,61,11530.042969,38791.242188,24429,26708,11847.421875,17278.816406,16860,19397,20700.234375,53662.214844,8636,13689,32260.630859,171211.796875,6226,11118,38495.890625,347960.5625,1553,5890,115390.015625,634074.5,57704,76863
252.562439,379.028381,0,174,22424.128906,72612.492188,20914,29075,20772.289062,61913.730469,13114,18415,21593.621094,67956.882812,7534,12726,43395.65625,282903.125,4826,11292,55874.359375,589945.625,839,6412,164312.59375,1075711.0,47227,78094
18818.746094,46040.726562,175,9137,36191.242188,205819.40625,16386,25802,36346.011719,192778.03125,11906,19046,20160.591797,83270.898438,5297,9467,53828.109375,403783.3125,2982,10646,43438.792969,467480.5,971,5236,208783.5,1399172.75,37717,79334
2691.122559,8060.556641,0,983,9466.65332,28587.421875,19356,22287,32954.082031,139437.625,16284,23415,15190.861328,45424.953125,7931,10823,35642.890625,191983.171875,6900,12116,49484.140625,457375.0625,1714,7277,145429.75,870868.75,52185,76901
0.0,0.0,0,0,19709.972656,63087.441406,24850,29929,12189.427734,21182.808594,13266,16142,17060.240234,51574.421875,9216,12378,28403.300781,136396.265625,6724,10939,47759.0625,394153.40625,1973,7810,125122.0,666394.3125,56029,77198
20.487099,2.779907,153,153,31466.720703,126580.921875,18512,27888,18093.925781,44596.375,11810,16487,24885.392578,89260.3125,6675,11903,58241.945312,373316.4375,4314,13472,58054.859375,581329.5,839,7079,190763.328125,1215086.375,42303,76982
19069.273438,80284.679688,1335,9987,40121.085938,223031.09375,10155,20934,46119.492188,167576.96875,10464,22392,21004.894531,87501.320312,5401,9241,52972.171875,389310.40625,2443,10188,48752.800781,514291.5625,644,5672,228039.71875,1461996.0,30442,78414
8289.835938,8130.63916,13565,27917,4224.135254,8171.192383,10192,11911,24407.742188,81919.289062,9075,15592,12695.049805,43909.054688,5912,8500,39670.699219,291087.21875,3209,8737,47333.257812,498594.53125,832,5692,136620.71875,931811.875,42785,78349
6917.367188,26884.904297,2514,4593,19161.230469,72697.0625,21291,24921,22739.136719,51205.921875,9913,16852,17445.408203,41191.636719,4836,9557,51075.273438,231066.1875,6654,16030,51111.128906,479506.6875,501,6330,168449.546875,902552.375,45709,78283
55.673908,111.014938,0,28,23341.785156,81103.695312,22677,29548,17201.335938,38621.429688,11831,16787,10831.953125,28849.083984,7380,9372,37356.984375,174277.0625,9323,15313,46449.910156,471675.4375,1050,5911,135237.640625,794637.75,52261,76959
4751.911621,12489.228516,5216,7186,10470.775391,26412.25,15600,19198,19959.722656,51041.632812,9644,15519,22728.933594,77316.390625,11974,15304,34338.855469,186605.75,7242,12362,39260.847656,401425.625,1626,5721,131511.046875,755290.875,51302,75290
5818.125,34569.117188,0,1154,11888.975586,35986.585938,18505,22281,8624.128906,14730.290039,14111,16246,13275.708984,19331.570312,17993,19300,20465.923828,78432.421875,6047,9764,31946.041016,233394.515625,2079,6138,92018.898438,416444.5,58735,74883
0.0,0.0,0,0,6699.050781,11943.694336,17333,20146,8985.96875,10521.623047,23007,24147,14380.806641,26341.519531,12649,15605,25223.613281,122941.882812,5313,9753,30195.710938,255890.5625,2228,5550,85485.15625,427639.3125,60530,75201
0.0,0.0,0,0,4799.56543,4210.117188,21784,23215,14716.025391,20184.699219,24139,26865,11194.158203,27159.089844,7176,10061,26187.900391,136178.6875,6293,10398,26391.777344,237275.9375,2040,4764,83289.421875,425008.5625,61432,75303
7.683572,19.681662,0,3,9319.759766,14084.389648,30654,32922,12089.125977,16346.804688,18525,21385,12512.677734,33051.496094,6551,9460,25857.015625,139410.203125,4924,9108,29291.449219,280508.0,1630,4612,89077.703125,483420.5625,62284,77490
4982.39209,8081.138672,856,7043,16713.554688,32926.5625,23997,32806,11053.189453,21147.412109,13902,16775,14175.914062,45822.382812,5366,8787,21744.914062,128508.6875,4313,7366,30092.714844,290934.4375,1532,4666,98762.6875,527420.625,49966,77443
6799.908691,24996.503906,14061,16324,6530.917969,7210.453613,21360,22917,8778.449219,15271.748047,11658,14276,7428.888672,22754.808594,4650,6198,21006.089844,107721.210938,4672,7993,31761.527344,292807.03125,1829,5218,82305.78125,470761.75,58230,72926
2439.212158,1892.048584,4714,8277,7094.572754,8265.842773,25165,27583,8993.148438,16752.246094,14526,16738,10400.84668,35250.761719,5789,7821,22447.699219,118631.0,5321,8727,39474.367188,361326.375,1784,6175,90849.84375,542118.3125,57299,75321
120.302887,98.169212,136,238,30048.507812,153676.65625,26466,32974,14902.875,43541.148438,9056,13820,17063.789062,71638.03125,3822,7615,46059.921875,361378.28125,5613,11321,40233.507812,403524.3125,1391,5588,148428.90625,1033856.625,46484,71556
14751.041992,76345.15625,7836,11245,16236.115234,29327.667969,17800,25286,19029.066406,65920.328125,7003,12166,10610.647461,45085.171875,4806,6709,47899.207031,364182.875,5740,11790,29833.349609,297452.0625,1006,4206,138359.421875,878313.25,44191,71402
1113.459473,3734.60791,0,339,11963.585938,36765.265625,20237,22779,8149.435059,11484.957031,13400,14881,7658.636719,17803.3125,7040,8181,43447.101562,217762.421875,9703,16483,21566.1875,178510.03125,1633,4053,93898.40625,466060.5625,52013,66716
4330.969727,20220.314453,0,957,10063.896484,23365.003906,17539,19534,11363.829102,22866.689453,11605,13923,16420.009766,53362.007812,9986,12525,35024.75,120800.265625,9869,15850,16421.152344,113893.078125,1524,3463,93624.609375,354507.34375,50523,66252
0.0,0.0,0,0,6406.205078,8701.834961,20238,22030,6959.662109,13877.232422,11828,13497,13970.257812,26196.902344,12566,15231,33487.074219,135440.28125,7123,13828,15674.416016,145899.21875,1390,2948,76497.617188,330115.46875,53145,67534
1664.325317,2632.886719,0,1069,7652.267578,15029.938477,19897,21671,15502.666016,35260.289062,12600,17327,18058.289062,51820.53125,10645,14277,28835.294922,142876.140625,5600,10480,22045.001953,244610.125,1236,3085,93757.84375,492229.90625,49978,67909
20444.291016,91743.820312,0,6814,5680.762207,9122.566406,15662,18107,19249.183594,61080.617188,12373,17148,27590.039062,112208.671875,7225,13219,25977.636719,157519.375,4433,8443,23654.351562,270643.125,1266,3269,122596.265625,702318.1875,40959,67000
7838.09375,15092.322266,13234,17358,10590.728516,14611.978516,14208,19225,25371.900391,105927.320312,10581,16466,16170.557617,66534.257812,4066,7602,20604.460938,127134.601562,2868,6094,20629.589844,246983.96875,937,2607,101205.328125,576284.5,45894,69352
0.0,0.0,0,0,24914.958984,82942.6875,19101,28952,11526.108398,30956.027344,13827,15888,8955.048828,23646.416016,4736,6716,18465.228516,90538.257812,3729,6742,20913.119141,219667.40625,1533,3247,84774.46875,447750.78125,42926,61545
