b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,177.556656,3502.95166,0,9,177.556656,3502.95166,0,9
17942.369141,119422.21875,8658,12388,4719.638184,10530.958008,15716,17388,22913.730469,73607.039062,15209,20452,21260.511719,118814.40625,5140,8966,32080.3125,178978.25,5826,10716,47519.0,451577.9375,1339,6678,146435.5625,952930.75,51888,76588
10854.056641,40805.5,21563,25766,10739.856445,31515.164062,22120,25122,7953.918945,18078.007812,8830,10697,10093.987305,31766.607422,4087,6312,37139.042969,206497.90625,4311,10310,42197.023438,404729.65625,428,5171,118977.882812,733392.875,61339,83378
3494.25,719.310913,0,29973,17830.882812,44899.757812,15894,22270,8786.261719,27376.876953,6445,8368,12572.787109,53334.179688,3370,6008,42488.3125,337137.1875,1764,7720,50261.113281,538274.625,123,5470,135433.609375,1001741.9375,27596,79809
88.383942,223.24942,0,35,23801.550781,82369.546875,23234,31229,10948.724609,24791.507812,13077,15444,9044.333008,27941.347656,5621,7527,31063.705078,151482.125,8120,12923,44184.902344,399365.65625,1639,6669,119131.59375,686173.4375,51691,73827
739.129761,4555.618164,0,120,7397.00293,27924.748047,17802,19489,19957.128906,68455.265625,13543,17909,13891.148438,31379.517578,10313,12964,33946.664062,139137.9375,9543,14884,43322.929688,372234.625,1892,6860,119254.0,643687.6875,53093,72226
0.0,0.0,0,0,19916.339844,63355.09375,22349,27856,7897.724609,15652.787109,8807,11372,16035.057617,50931.335938,6692,10016,40309.15625,200424.0625,9834,15168,52255.007812,473609.71875,2202,7997,136413.296875,803973.0,49884,72409
1857.324585,5447.594727,0,641,36533.007812,235181.265625,18018,24861,9638.399414,21890.921875,9002,11856,8983.667969,24445.949219,7281,8742,52573.769531,294398.28125,10515,17944,54663.109375,461518.25,1831,8372,164249.28125,1042882.25,46647,72416
5361.795898,27753.664062,7180,8228,3399.338379,4669.404785,15979,16546,6885.817871,17544.582031,9611,11025,21518.548828,79973.3125,11157,14568,22561.460938,94825.53125,8331,11988,50858.296875,363497.5,2977,9679,110585.257812,588264.0,55235,72034
10619.835938,19385.025391,0,7961,1115.891479,418.880951,15842,15904,2971.327637,3925.095215,9908,10291,16626.257812,36331.679688,13619,15910,25129.416016,94457.007812,9137,13042,52166.59375,393558.5,2187,8954,108629.328125,548076.1875,50693,72062
0.0,0.0,0,0,1352.915283,207.746384,17566,17575,9481.87793,16405.863281,15532,16938,10665.916016,21325.773438,10975,12405,30332.644531,109504.359375,11098,15990,50030.304688,392304.71875,3335,9376,101863.65625,539748.5,58506,72284
0.0,0.0,0,0,1550.934326,578.071106,17701,17779,11983.837891,25963.867188,19600,21599,8105.785156,20523.109375,6967,8439,34381.710938,140886.59375,10940,16306,55756.738281,476999.21875,3373,9667,111779.007812,664950.875,58581,73790
0.0,0.0,0,0,3453.035645,7982.075195,17520,18624,11615.71875,33688.753906,17144,19457,6559.643555,10478.253906,11163,11689,29939.941406,122046.226562,10056,14860,51457.15625,409108.375,3784,9812,103025.484375,583303.6875,59667,74442
0.0,0.0,0,0,6593.129395,17743.144531,24733,26109,6112.164062,17254.167969,10756,12014,10647.383789,20623.210938,12884,14217,34177.582031,156436.421875,8333,13999,55337.777344,472864.4375,3043,9370,112868.039062,684921.375,59749,75709
260.217957,998.420044,0,68,14171.835938,61881.015625,21840,25180,8472.707031,19121.621094,13720,15611,10158.099609,20835.408203,10652,12238,30786.367188,129250.859375,9844,14552,46442.96875,375230.21875,2971,8578,110292.1875,607317.5625,59027,76227
3986.831055,21312.511719,8280,8922,13299.708984,60553.367188,15815,18999,10808.09082,18460.019531,16925,18493,10626.130859,25752.628906,8108,10423,32069.169922,144195.953125,7423,13098,45889.234375,403463.0,2853,7882,116679.164062,673737.5,59404,77817
8391.359375,56798.945312,0,1248,4731.397949,11911.037109,22045,23236,10497.442383,21182.792969,13870,16854,10974.745117,27295.832031,8962,11083,34335.8125,131317.4375,11139,16909,45021.71875,369921.5625,2280,7556,113952.484375,618427.625,58296,76886
23.99515,11.34957,51,51,7705.458008,15910.041016,23171,25578,6850.638672,13120.295898,14464,15882,17441.777344,50044.398438,9631,13127,29974.175781,117393.78125,10211,15173,36731.933594,285001.0625,2335,6893,98727.976562,481480.9375,59863,76704
2.980316,2.960762,0,3,5204.518555,11415.985352,21922,23647,7454.433105,12410.594727,15808,17170,18098.019531,42664.148438,11848,15697,30863.628906,126104.445312,8989,14218,38549.015625,311820.875,1768,6403,100172.59375,504419.0,60335,77138
0.0,0.0,0,0,7063.470703,11509.283203,27162,28828,11114.241211,23246.507812,15030,17779,14021.749023,32551.783203,10396,13219,26413.146484,107075.40625,7325,12069,40574.195312,372820.25,2056,6467,99186.804688,547203.1875,61969,78362
0.0,0.0,0,0,12748.362305,50166.082031,20462,23876,11237.34668,18791.623047,18941,21361,12766.253906,23176.400391,12523,14675,21617.359375,84474.4375,6866,10857,48794.40625,414624.125,2796,8211,107163.726562,591232.6875,61588,78980
0.0,0.0,0,0,7837.383789,20588.927734,25368,27471,9385.925781,12234.392578,19527,21263,15688.987305,34689.390625,10403,13837,25340.130859,112527.710938,6650,10826,34085.421875,285200.6875,1829,5819,92337.84375,465241.125,63777,79216
831.806519,1562.960083,0,457,12411.191406,14121.736328,23846,30827,12161.035156,20689.4375,19425,21628,13707.386719,40150.460938,7425,10202,29364.785156,169366.09375,4732,9240,31319.296875,298496.09375,2046,5231,99795.5,544386.75,57474,77585
0.0,0.0,0,0,8522.070312,15719.058594,23523,25847,17113.046875,25235.378906,19246,22844,10410.582031,26717.429688,5838,8112,40023.464844,223491.71875,6964,12890,45675.421875,411248.90625,1189,6312,121744.578125,702412.5,56760,76005
11.495399,22.093077,0,6,36403.867188,190651.4375,19979,29414,26389.984375,82780.640625,12716,20166,8980.183594,30435.5,3754,5833,61610.425781,386485.46875,4486,14526,38725.632812,419526.1875,1570,5220,172121.59375,1109901.25,42505,75165
19015.609375,63095.046875,0,7528,23992.904297,113262.976562,16403,23271,26397.078125,128449.109375,9372,14954,16665.777344,65339.378906,6806,9855,51414.265625,333363.46875,5502,12851,32075.785156,306757.96875,1936,5230,169561.421875,1010268.0,40019,73689
4392.301758,11252.40332,6567,9303,23381.998047,81591.90625,16121,23984,14098.824219,61105.960938,9322,12195,30258.839844,119090.078125,7581,14150,31282.857422,156537.8125,5551,10732,25100.617188,240291.28125,761,3440,128515.4375,669869.4375,45903,73804
778.417969,2395.787354,0,256,18771.347656,70052.4375,17340,22905,11676.324219,22844.554688,13407,16739,23951.472656,65913.90625,9287,15290,28267.427734,128559.382812,6169,11000,41519.40625,390102.40625,946,5450,124964.398438,679868.5,47149,71640
269.334137,608.311218,3,136,9535.420898,12843.396484,14354,19265,28680.580078,64878.695312,14585,23955,28501.257812,100131.929688,6799,13337,31610.535156,172163.390625,3806,9006,48100.820312,492433.5,267,5309,146697.9375,843059.25,39814,71008
18273.84375,52038.953125,1167,9117,9492.605469,13883.374023,13787,16727,32761.871094,80410.75,17418,27138,23642.597656,102412.15625,5194,10240,30847.011719,201590.5625,1741,6557,43175.78125,491968.625,200,4267,158193.71875,942304.5,39507,74046
37421.09375,255543.484375,10793,18142,33385.132812,155253.28125,17948,26247,38122.988281,132725.78125,4459,15999,28035.685547,145442.453125,1387,7029,30804.054688,220743.09375,772,5269,39106.335938,459390.96875,72,3574,206875.296875,1369099.0,35431,76260
0.0,0.0,0,0,13109.367188,16770.285156,33610,36679,18028.060547,38206.277344,15949,20676,7953.602539,23847.410156,3137,4989,26161.308594,146593.3125,3359,7238,52110.484375,593099.25,441,5317,117362.8125,818516.5625,56496,74899
4427.782227,6793.811523,8455,9847,16136.566406,25538.429688,31461,36405,8884.068359,15252.453125,13002,15058,7793.525391,26233.058594,3779,5460,18601.251953,114356.90625,2104,5036,55034.046875,617543.75,768,5826,110877.242188,805718.375,59569,77632
10293.390625,15118.291016,24063,32282,21384.9375,49050.765625,21574,29168,6932.705078,24998.21875,3970,5751,16309.12793,101425.484375,2692,5420,15062.273438,115078.34375,1189,3294,46798.265625,539964.375,535,4930,116780.703125,845635.5,54023,80845
2285.275635,6472.587891,0,838,14409.693359,33836.773438,29193,33037,8580.917969,18736.375,10014,12395,11188.299805,27060.988281,6828,9266,19424.869141,109867.695312,4032,7098,65371.171875,620107.5,1787,8996,121260.234375,816081.9375,51854,71630
13058.583008,28989.46875,7174,13884,11560.927734,23597.65625,13027,16938,19993.039062,47580.0,13223,18157,7857.662109,30470.392578,3287,4838,30110.773438,203438.1875,3735,8045,85245.585938,957069.625,948,9161,167826.5625,1291145.375,41394,71023
8098.675781,13518.212891,23430,28102,6922.943359,7424.671875,10674,11869,17637.070312,47212.464844,10455,14077,13656.523438,55311.09375,2824,5700,48050.109375,378267.5,1882,8310,64326.152344,743447.125,203,6215,158691.46875,1245181.0,49468,74273
42.128426,98.003342,2,20,41757.242188,205286.3125,19172,30216,10082.912109,32389.521484,9109,11317,11867.908203,38913.597656,6046,8276,45073.09375,246035.734375,8264,14826,32799.242188,325240.5625,1496,4769,141622.53125,847963.75,44089,69424
100.231316,120.353165,0,90,4223.460938,3384.177734,23146,24209,11970.933594,22741.585938,12176,15238,8893.688477,21162.970703,5403,7407,59152.84375,306541.25,7699,17884,40244.648438,388688.21875,770,5097,124585.804688,742638.5625,49194,69925
