b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
1163.799072,3050.625,0,457,52298.75,273704.03125,19937,30827,33491.175781,154173.125,15823,21628,20815.472656,105589.78125,6853,10202,27743.015625,149215.1875,5106,9240,26827.210938,235185.6875,2468,5231,162339.4375,920918.4375,50187,77585
0.0,0.0,0,0,38372.25,152825.28125,16058,25847,31876.074219,104823.109375,16475,22844,15233.164062,61867.375,5597,8112,38070.992188,210028.4375,7391,12890,33405.445312,281149.96875,2594,6312,156957.90625,810694.125,48115,76005
24.270889,98.193146,0,6,45325.351562,219937.46875,21118,29414,37281.164062,181647.59375,12990,20166,13355.451172,91247.554688,4223,5833,45858.859375,274048.75,7932,14526,28797.851562,290815.6875,2659,5220,170642.9375,1057795.25,48922,75165
5647.863281,10446.8125,4241,7528,25135.554688,116211.53125,19075,23271,27576.609375,159613.6875,10324,14954,26415.941406,188402.71875,6256,9855,37485.164062,230579.375,7278,12851,22744.503906,188749.203125,2897,5230,145005.625,894003.3125,50071,73689
26659.576172,88516.8125,4,9303,30623.945312,125532.921875,16841,23984,25079.279297,134160.0,7922,12195,33278.214844,201627.125,9019,14150,29888.457031,212215.53125,7058,10732,13680.503906,122723.585938,2128,3440,159209.96875,884776.0,42972,73804
769.779724,2495.40332,0,256,28770.982422,76003.03125,16118,22905,35680.355469,203606.859375,11468,16739,30433.005859,200993.34375,11083,15290,30637.541016,182553.59375,6625,11000,33628.375,326342.1875,2175,5450,159920.03125,991994.375,47469,71640
199.04657,707.24762,0,136,28052.207031,87893.234375,8652,19265,45849.328125,223891.5625,14211,23955,25681.757812,132726.90625,8853,13337,27173.373047,182265.71875,5475,9006,33797.464844,280002.125,1260,5309,160753.171875,907486.75,38451,71008
30939.824219,235508.375,0,9117,18564.119141,50857.027344,12645,16727,53677.21875,230070.625,13735,27138,24360.53125,137013.0,5580,10240,26099.904297,165829.5,2259,6557,32051.283203,294357.3125,759,4267,185692.875,1113635.875,34978,74046
23464.886719,68377.703125,365,18142,30888.765625,115477.25,19320,26247,34460.390625,308807.25,11005,15999,16676.859375,107815.0,4355,7029,20072.328125,177066.546875,2598,5269,24542.652344,229385.203125,839,3574,150105.875,1006928.9375,38482,76260
0.0,0.0,0,0,55308.496094,227930.953125,20710,36679,39908.308594,218169.671875,12771,20676,6681.166016,19508.1875,3945,4989,24289.509766,188557.546875,4031,7238,31194.636719,252824.0625,1854,5317,157382.109375,906990.375,43311,74899
