sample_id,b1_mae,b1_rmse,b1_d1,b1_px,b2_mae,b2_rmse,b2_d1,b2_px,b3_mae,b3_rmse,b3_d1,b3_px,b4_mae,b4_rmse,b4_d1,b4_px,b5_mae,b5_rmse,b5_d1,b5_px,b6_mae,b6_rmse,b6_d1,b6_px,all_mae,all_rmse,all_d1,all_px
environment_1/02679,1.608718,3.193326,0.663018,14710,1.777923,3.017335,0.549117,21917,1.506306,2.122757,0.585247,11238,2.702986,3.521053,0.524969,7189,5.327419,6.456282,0.325154,11696,10.107154,11.038793,0.082335,7761,3.217535,5.079599,0.490948,74511
environment_1/02680,1.022916,2.258997,0.551084,19008,0.594908,0.995369,0.71669,15746,1.177093,1.79694,0.637183,13544,2.097774,2.99481,0.597379,6716,4.149757,5.559007,0.488319,11044,9.519108,10.655415,0.15133,6879,2.332891,4.284472,0.55988,72937
environment_1/02681,0.622059,1.417128,0.617607,14812,1.218416,1.609603,0.416207,13945,1.136263,2.230492,0.78025,10339,2.408831,3.429507,0.498434,5748,3.011648,4.253834,0.591973,17864,6.182091,7.577484,0.282335,6425,2.102014,3.561863,0.553614,69133
environment_1/02682,0.120225,0.124875,1.0,163,0.176377,0.204527,0.99994,16799,0.687969,1.402657,0.865813,13742,1.134351,1.640143,0.799699,15267,2.509542,3.25297,0.567234,18086,5.898349,6.727382,0.221593,7419,1.663526,2.887544,0.741102,71476
environment_1/02683,,,,0,0.177686,0.363188,0.978467,9892,0.379909,0.658239,0.953754,17861,0.828557,1.200406,0.876159,16069,2.242164,3.066108,0.615504,19956,5.184535,6.67764,0.454915,6155,1.408673,2.658506,0.798993,69933
environment_1/02684,,,,0,0.328105,0.840412,0.89247,9216,0.396863,0.752538,0.931374,24699,1.044728,1.543802,0.785367,18534,2.327709,3.353352,0.617173,12170,5.128262,6.780008,0.438152,5756,1.279367,2.573578,0.793151,70375
environment_1/02685,,,,0,0.572319,1.342321,0.784995,18567,0.624972,0.977043,0.818357,24427,1.458196,2.18865,0.661576,11917,2.702462,4.023167,0.6098,10041,5.163462,7.284365,0.532842,4613,1.354477,2.737083,0.733559,69565
environment_1/02686,2.157846,4.683919,0.680875,4528,0.609696,1.047954,0.791281,19864,1.039753,1.728585,0.674026,23462,1.783943,2.391285,0.530253,8809,4.693758,5.843789,0.367429,9444,8.9361,10.336402,0.262478,3406,1.967335,3.653855,0.62794,69513
environment_1/02687,0.86403,1.313982,0.54086,10071,0.899294,1.427857,0.531931,31098,2.274727,2.602311,0.297382,8975,4.19018,4.562554,0.147738,6234,6.923489,7.464817,0.133326,9233,12.148253,12.739708,0.045205,4004,2.812201,4.541281,0.387718,69615
environment_1/02688,1.080459,2.263021,0.60347,25993,1.818108,3.273063,0.268535,10561,2.3223,2.950694,0.396513,10325,4.634371,5.270316,0.269104,7577,6.678459,7.823954,0.330361,4374,13.592997,14.373644,0.088333,2717,2.803086,4.727793,0.427966,61547
environment_1/02689,1.71353,2.735874,0.282959,30948,0.833876,1.383027,0.756048,7854,1.187394,1.80062,0.770472,5703,1.958632,2.890457,0.725537,5396,2.491058,3.68195,0.624973,4669,7.892718,9.426216,0.260663,3587,2.009423,3.450104,0.461802,58157
environment_1/02690,,,,0,0.113606,0.206605,0.985382,10398,0.519809,0.863797,0.85665,16519,0.737269,1.241349,0.845734,6411,1.676752,2.800892,0.796677,6379,4.521496,6.361927,0.653878,3675,0.963698,2.259266,0.859896,43382
environment_1/02691,,,,0,0.110054,0.422958,0.960512,6407,0.104101,0.510762,0.97885,13286,0.065682,0.083972,1.0,6505,0.233895,0.90235,0.994343,6541,1.763107,4.431674,0.910899,3569,0.284728,1.485101,0.975515,36308
environment_1/02692,,,,0,0.043844,0.113692,0.995566,6541,0.058909,0.076088,0.999692,13007,0.132791,0.156168,1.0,6505,0.321644,0.453183,0.999232,6509,1.64674,3.577341,0.927509,3697,0.278507,1.162103,0.991561,36259
environment_1/02693,,,,0,0.192727,0.260795,0.997428,25276,0.329345,0.571537,0.947706,15910,1.046129,1.553396,0.799553,16094,2.522764,3.339676,0.558556,17778,4.970399,6.038354,0.356651,5518,1.231434,2.350666,0.807374,80576
environment_1/02694,,,,0,0.096491,0.469785,0.980714,33288,0.275879,0.745217,0.966893,15616,0.845762,1.479163,0.872321,12876,1.97991,2.816665,0.658873,14713,4.166865,5.18165,0.43388,5059,0.841436,1.907557,0.868967,81552
environment_1/02695,,,,0,0.436075,1.496022,0.904697,34238,0.570926,1.112234,0.835322,17768,1.298073,1.868019,0.720294,13482,2.845076,3.811445,0.511213,12263,7.757142,8.540099,0.161695,4861,1.394129,2.865485,0.757553,82612
environment_1/02696,4.384071,5.750549,0.1983,9410,1.87607,2.088984,0.083154,23703,3.00238,4.133209,0.483599,19237,1.951752,2.409895,0.532357,15360,4.045494,4.655264,0.27335,11092,8.976487,9.429506,0.028441,3516,3.035694,4.102509,0.297007,82318
environment_1/02697,,,,0,1.515826,2.029944,0.462734,16852,1.936477,2.70091,0.488271,26942,2.460305,2.845226,0.327559,16568,4.998463,5.597727,0.174476,11652,10.641083,10.990624,0.00073,5479,3.032844,4.291286,0.366704,77493
environment_1/02698,1.951735,1.980782,0.0,2683,0.863198,1.315022,0.687027,22986,1.420929,1.671072,0.429396,23561,3.675478,3.826891,0.034886,11638,7.356346,7.581732,0.0,8596,12.804595,12.979596,0.0,7544,3.391397,5.161488,0.341718,77008
environment_1/02699,0.975776,1.068573,0.181516,3311,1.125476,1.474167,0.462641,33004,2.042292,2.294573,0.239835,24421,4.057318,4.239199,0.054125,7575,7.22439,7.495482,0.003754,7459,12.422898,12.572423,0.0,5103,2.946172,4.400257,0.274072,80873
environment_1/02700,2.238301,3.026116,0.268077,20039,0.850777,1.125285,0.585297,27750,1.900273,2.420596,0.492564,17618,2.670831,3.320683,0.437567,7496,5.760243,6.545686,0.151539,6335,11.441458,11.804849,0.00265,3774,2.428964,3.805054,0.416109,83012
environment_1/02701,0.399453,0.625774,0.493352,43249,2.05958,2.401668,0.164251,20426,3.26652,3.658761,0.146748,7748,4.641943,5.135565,0.157619,5526,9.119485,9.471494,0.02075,4723,14.014579,14.189148,0.0,3146,2.32812,4.122242,0.315947,84818
environment_1/02702,0.858957,1.722956,0.352935,44776,1.973791,3.001762,0.325868,21745,2.799792,3.359509,0.373473,5813,4.689799,5.416609,0.273832,3126,6.119524,7.29356,0.237334,4757,10.756734,11.874755,0.058024,3309,2.11935,3.799557,0.32609,83526
environment_1/02703,3.517743,4.990008,0.184043,43593,1.672865,2.233929,0.525061,4489,2.341219,3.196345,0.550052,8681,3.765121,5.085201,0.496837,4585,6.702936,8.330297,0.364367,8711,11.655515,13.098291,0.169085,7718,4.458802,6.458012,0.281729,77777
environment_1/02704,3.47958,3.497778,0.0,170,0.469662,1.105982,0.83339,5858,0.699682,1.738247,0.873825,18189,1.139561,1.920217,0.80698,14097,2.521123,3.519199,0.576712,15519,5.190344,6.556469,0.405429,10389,1.949199,3.428663,0.705584,64222
environment_1/02705,,,,0,0.534374,1.220597,0.829966,7028,0.660124,1.352727,0.812286,24239,0.767052,1.434209,0.842184,9397,2.122583,3.175292,0.701512,16540,5.919356,7.572786,0.407307,10648,1.843735,3.542614,0.727701,67852
environment_1/02706,0.987245,0.996617,0.0,31,0.846286,1.770474,0.753529,13957,0.34988,0.82862,0.918337,14817,1.150465,2.059647,0.805241,11142,2.377509,3.680657,0.715712,18330,4.391689,6.404332,0.590817,9387,1.694393,3.294827,0.764971,67664
environment_1/02707,4.833521,6.004145,0.110171,10520,0.680738,1.162727,0.657917,5981,0.832249,1.677827,0.788414,14155,2.085217,3.122413,0.614455,14473,4.240286,5.824076,0.477356,14662,8.639674,10.067866,0.215843,9632,3.489742,5.423367,0.492992,69423
environment_1/02708,8.943185,9.438762,0.0,1303,0.332476,0.6477,0.972239,4827,0.64043,1.198021,0.89817,19130,1.63331,2.355294,0.724783,17746,2.577257,3.198353,0.558622,15327,7.25756,8.080792,0.189905,9926,2.432414,3.920116,0.661949,68259
environment_1/02709,,,,0,0.220656,0.435372,0.962468,5835,0.691106,1.21742,0.876139,26441,1.882083,2.700682,0.62206,15902,2.78812,3.465982,0.528129,15411,6.635057,7.636317,0.256493,10589,2.193592,3.595399,0.667705,74178
environment_1/02710,,,,0,0.447123,0.873878,0.873656,9672,0.785501,1.43348,0.830966,30065,1.374434,1.968858,0.672953,13998,2.947251,3.953979,0.511516,13980,7.738641,8.903553,0.227157,9007,2.060485,3.709991,0.678423,76722
