b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,178.880875,3555.386475,0,9,178.880875,3555.386475,0,9
2582.891602,3555.535645,11420,12388,4162.728516,6040.369629,15760,17388,19958.580078,47570.285156,14851,20452,14734.746094,59312.042969,6136,8966,29617.314453,139892.375,6130,10716,44892.515625,400514.25,1466,6678,115948.78125,656884.875,55763,76588
5541.831055,7008.185547,21886,25766,24838.917969,72866.03125,13583,25122,23559.669922,66122.796875,2000,10697,23025.865234,102766.75,1057,6312,52636.695312,353183.59375,2462,10310,48051.585938,517800.25,445,5171,177654.5625,1119747.5,41433,83378
4063.864014,758.657715,0,29973,39489.757812,178378.25,12766,22270,11797.258789,39501.890625,5449,8368,15523.925781,77442.171875,3250,6008,41513.023438,345827.5625,2293,7720,45646.703125,489682.15625,705,5470,158034.53125,1131590.75,24463,79809
80.539734,185.444183,0,35,13581.760742,34827.621094,27564,31229,12072.607422,29263.488281,12808,15444,9740.607422,32177.259766,5516,7527,29729.554688,145383.1875,8431,12923,40797.171875,360604.5625,2006,6669,106002.242188,602441.625,56325,73827
803.041687,5379.363281,0,120,6844.448242,23741.894531,17733,19489,13250.178711,35370.53125,15327,17909,17185.484375,41384.4375,9016,12964,40599.644531,187389.75,8062,14884,43713.105469,397268.3125,2190,6860,122395.90625,690534.25,52328,72226
0.0,0.0,0,0,34828.578125,218632.78125,21841,27856,7354.983887,13810.731445,9171,11372,17891.476562,64030.828125,6201,10016,45775.570312,247561.171875,8589,15168,52135.328125,501296.625,2653,7997,157985.9375,1045332.125,48455,72409
1632.340088,4282.520508,0,641,13273.796875,39893.0,21167,24861,7701.899414,15974.863281,9894,11856,9725.714844,24632.927734,7183,8742,43210.84375,220698.71875,11901,17944,51343.695312,422165.65625,1997,8372,126888.28125,727647.6875,52142,72416
26935.398438,184878.8125,3004,8228,3044.677734,3263.022949,15466,16546,8264.835938,23390.167969,8927,11025,24666.646484,94912.3125,10301,14568,34460.3125,215464.984375,7269,11988,63220.6875,601957.875,2973,9679,160592.5625,1123867.25,47940,72034
7504.929688,7883.432129,45,7961,1650.257324,1262.046387,15688,15904,4897.707031,10182.138672,9100,10291,23785.033203,90815.4375,12132,15910,34268.984375,195777.875,8004,13042,51434.929688,431910.53125,3102,8954,123541.84375,737831.4375,48071,72062
