b1_sae,b1_sse,b1_d1n,b1_px,b2_sae,b2_sse,b2_d1n,b2_px,b3_sae,b3_sse,b3_d1n,b3_px,b4_sae,b4_sse,b4_d1n,b4_px,b5_sae,b5_sse,b5_d1n,b5_px,b6_sae,b6_sse,b6_d1n,b6_px,all_sae,all_sse,all_d1n,all_px
0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,177.977112,3519.553955,0,9,177.977112,3519.553955,0,9
5139.541992,10473.244141,6763,12388,5291.961426,11043.589844,15476,17388,19260.816406,49015.042969,15677,20452,19741.666016,108349.585938,5643,8966,32790.507812,180097.0625,5839,10716,49488.125,470280.59375,1053,6678,131712.625,829259.125,50451,76588
7415.426758,10216.505859,18221,25766,17930.921875,36347.28125,16040,25122,16561.298828,39583.492188,4691,10697,16056.605469,58281.578125,2494,6312,45008.335938,256018.921875,2614,10310,46571.488281,461901.15625,99,5171,149544.0625,862348.9375,44159,83378
5400.577637,1347.254883,0,29973,79112.8125,483183.8125,6550,22270,22514.441406,104643.96875,3484,8368,12026.212891,44606.699219,3493,6008,45341.671875,357575.6875,1417,7720,52110.164062,555590.625,116,5470,216505.890625,1546948.0,15060,79809
75.054718,161.057953,0,35,23211.169922,63073.109375,23410,31229,16917.59375,46679.570312,11066,15444,12390.561523,45887.984375,5333,7527,40264.789062,219753.203125,6920,12923,47702.789062,460166.09375,1837,6669,140561.96875,835721.0,48566,73827
624.584961,3376.803711,0,120,6943.087891,22285.085938,17727,19489,23337.195312,100843.90625,12890,17909,18594.943359,54070.371094,9144,12964,36966.429688,165732.09375,9577,14884,42505.34375,346221.75,1891,6860,128971.585938,692530.0,51229,72226
0.0,0.0,0,0,33261.210938,204792.09375,21600,27856,6537.143555,10970.911133,9633,11372,17579.292969,57067.453125,6333,10016,44678.171875,227699.765625,8603,15168,54327.851562,507426.125,2252,7997,156383.671875,1007956.4375,48421,72409
1526.844971,3656.041016,0,641,14733.816406,57269.664062,21266,24861,5724.118164,9592.105469,10286,11856,9222.712891,22603.882812,7023,8742,47038.046875,231008.46875,10433,17944,53816.382812,473084.3125,2057,8372,132061.921875,797214.5,51065,72416
3989.077148,12957.286133,7057,8228,2002.161133,3880.971924,16054,16546,6702.182129,21453.769531,9543,11025,22782.480469,97303.140625,10725,14568,27783.259766,142058.21875,7902,11988,54846.199219,399626.4375,2223,9679,118105.359375,677279.8125,53504,72034
8319.112305,10660.980469,4,7961,689.824463,463.986115,15822,15904,2878.73584,4451.573242,9750,10291,17090.292969,44097.734375,13067,15910,28343.908203,117736.882812,8521,13042,50656.757812,384856.03125,2541,8954,107978.632812,562267.1875,49705,72062
0.0,0.0,0,0,615.606506,34.512192,17575,17575,9974.431641,22520.957031,15179,16938,14354.108398,36914.945312,9507,12405,33059.273438,127032.507812,10788,15990,56014.179688,458255.9375,2797,9376,114017.601562,644758.875,55846,72284
0.0,0.0,0,0,2204.999268,1015.558777,17651,17779,13695.085938,26770.986328,18291,21599,7727.174805,20023.878906,6865,8439,35333.730469,158435.21875,10633,16306,59933.992188,526038.1875,2796,9667,118894.976562,732283.8125,56236,73790
0.0,0.0,0,0,2865.744141,6190.59082,17425,18624,10449.109375,29021.574219,17313,19457,8677.980469,15209.908203,10811,11689,30766.820312,120358.53125,9463,14860,52516.898438,410598.8125,3401,9812,105276.546875,581379.375,58413,74442
0.0,0.0,0,0,5568.810547,14127.226562,25176,26109,7365.511719,20360.894531,10273,12014,15814.339844,35273.359375,11164,14217,40576.859375,208445.0625,7363,13999,61221.945312,586478.0,2997,9370,130547.46875,864684.5,56973,75709
194.569214,558.077454,0,68,14509.720703,56254.382812,21303,25180,7332.951172,14708.664062,14137,15611,14340.935547,33484.835938,9285,12238,33703.039062,149624.84375,9219,14552,44422.417969,354997.40625,3210,8578,114503.632812,609628.1875,57154,76227
4691.75,21180.474609,7761,8922,11221.796875,48068.765625,16032,18999,9115.453125,13875.470703,16827,18493,11327.803711,26832.34375,7795,10423,37470.773438,174419.875,6459,13098,50597.203125,459043.25,2434,7882,124424.78125,743420.1875,57308,77817
7489.6875,47841.007812,0,1248,4375.199707,9325.712891,22537,23236,10049.771484,20045.117188,14022,16854,12792.290039,35166.820312,8190,11083,37906.710938,159249.875,10726,16909,43699.789062,367819.6875,2657,7556,116313.453125,639448.1875,58132,76886
30.563328,18.745853,25,51,6503.328613,11528.753906,23615,25578,6484.540039,12938.161133,14542,15882,18992.427734,58217.226562,8777,13127,32936.058594,140168.328125,9692,15173,41623.992188,348187.03125,1929,6893,106570.914062,571058.25,58580,76704
5.777256,11.125862,0,3,5430.708008,11072.708008,22090,23647,7021.568359,10635.467773,15644,17170,22070.003906,55187.671875,10204,15697,36554.6875,168672.703125,8063,14218,39574.945312,335124.8125,1708,6403,110657.6875,580704.5,57709,77138
0.0,0.0,0,0,7664.512695,11152.578125,25607,28828,11829.455078,23753.271484,14889,17779,15105.40918,38567.511719,9898,13219,27189.351562,118765.203125,7451,12069,40590.710938,387438.96875,2198,6467,102379.4375,579677.5,60043,78362
0.0,0.0,0,0,10261.628906,28097.910156,20294,23876,10093.680664,17016.755859,19300,21361,14608.525391,33821.429688,12013,14675,21023.048828,80002.234375,7256,10857,45579.226562,358773.625,2813,8211,101566.109375,517711.9375,61676,78980
0.0,0.0,0,0,7346.447266,18207.179688,25517,27471,11094.40625,17544.183594,19103,21263,16461.667969,38061.15625,10300,13837,25634.886719,119967.984375,6714,10826,35439.757812,298213.15625,1558,5819,95977.164062,491993.6875,63192,79216
563.870117,714.829834,0,457,12752.538086,14870.195312,24639,30827,13782.244141,29086.410156,18693,21628,13430.054688,41665.675781,7101,10202,30556.136719,183275.984375,4655,9240,33633.117188,313835.53125,1476,5231,104717.953125,583448.625,56564,77585
0.0,0.0,0,0,13742.185547,36728.722656,21865,25847,19962.341797,36392.921875,17130,22844,13370.392578,39763.351562,5226,8112,46326.449219,257962.8125,5665,12890,52689.347656,528204.875,792,6312,146090.71875,899052.75,50678,76005
6.536605,7.138533,0,6,28035.234375,112465.007812,19509,29414,22279.714844,58546.03125,13685,20166,8906.199219,30131.664062,3886,5833,60536.996094,377282.03125,5021,14526,39788.683594,414433.5,1137,5220,159553.359375,992865.375,43238,75165
1660.317627,1150.421631,7057,7528,8209.174805,17639.867188,20845,23271,17579.892578,65123.289062,10603,14954,13534.728516,40462.71875,7131,9855,39383.707031,197892.890625,6255,12851,34811.546875,319424.71875,1437,5230,115179.367188,641693.875,53328,73689
4949.981445,4217.585449,2710,9303,11479.854492,14700.529297,17643,23984,10880.169922,26143.191406,9245,12195,29699.419922,109791.265625,7330,14150,33614.246094,181524.65625,5311,10732,25525.894531,252214.84375,790,3440,116149.5625,588592.125,43029,73804
765.124756,2292.937988,0,256,14231.207031,41454.503906,18378,22905,12086.677734,22227.75,13763,16739,28772.857422,87078.34375,7947,15290,31601.46875,145876.15625,5553,11000,42568.40625,406344.0625,845,5450,130025.742188,705273.75,46486,71640
285.151978,640.569824,3,136,13076.199219,27079.654297,14337,19265,34981.402344,92486.632812,13254,23955,30761.787109,109722.921875,6189,13337,35339.226562,202917.59375,3541,9006,51342.0,550316.375,103,5309,165785.765625,983163.75,37427,71008
29784.804688,127301.734375,99,9117,11789.216797,22080.992188,12759,16727,45121.972656,132249.984375,13610,27138,27106.625,108686.421875,4200,10240,36033.988281,245071.421875,813,6557,46866.679688,545247.125,0,4267,196703.28125,1180637.75,31481,74046
