timestamp,key,value
2026-03-12 19:08:00,split,Train
2026-03-12 19:08:00,samples,63000
2026-03-12 19:08:00,valid_pixels,4762413071
2026-03-12 19:08:00,depth_min_m,0.00
2026-03-12 19:08:00,depth_max_m,20.00
2026-03-12 19:08:00,depth_mean_m,6.47
2026-03-12 19:08:00,depth_median_m,5.37
2026-03-12 19:08:00,pct_0 - 2.5 m,15.3%
2026-03-12 19:08:00,pct_2.5 - 5 m,30.3%
2026-03-12 19:08:00,pct_5 - 7.5 m,22.8%
2026-03-12 19:08:00,pct_7.5 - 10 m,12.7%
2026-03-12 19:08:00,pct_10 - 15 m,12.5%
2026-03-12 19:08:00,pct_15 - 20 m,6.3%
